"name","transistor_count","date","designer","process_nm","area_mm"
"Intel 4004 ","2250",1971,"Intel",10000,12
"Intel 8008 ","3500",1972,"Intel",10000,14
"Toshiba TLCS-12 ",11000,1973,"Toshiba",6000,32
"Intel 4040 ","3000",1974,"Intel",10000,12
"Motorola 6800 ","4100",1974,"Motorola",6000,16
"Intel 8080 ","6000",1974,"Intel",6000,20
"TMS 1000 ","8000",1974,"Texas Instruments",8000,11
"MOS Technology 6502 ",4528,1975,"MOS Technology",8000,21
"RCA 1802 ","5000",1976,"RCA",5000,27
"Zilog Z80 ",8500,1976,"Zilog",4000,18
"Intel 8085 ","6500",1976,"Intel",3000,20
"Motorola 6809 ","9000",1978,"Motorola",5000,21
"Intel 8086 ","29000",1978,"Intel",3000,33
"Intel 8088 ","29000",1979,"Intel",3000,33
"Motorola 68000 ",68000,1979,"Motorola",3500,44
"WDC 65C02",11500,1981,"WDC",3000,6
"Intel 80186 ","55000",1982,"Intel",3000,60
"Intel 80286 ","134000",1982,"Intel",1500,49
"WDC 65C816 ",22000,1983,"WDC",3000,9
"Motorola 68020 ",190000,1984,"Motorola",2000,85
"Intel 80386 ","275000",1985,"Intel",1500,104
"ARM 1 ",25000,1985,"Acorn",3000,50
"ARM 2 ",27000,1986,"Acorn",2000,30.25
"Motorola 68030 ","273000",1987,"Motorola",800,102
"DEC WRL MultiTitan",180000,1988,"DEC WRL",1500,61
"Intel i960CA ",600000,1989,"Intel",800,143
"Intel 80486 ","1180235",1989,"Intel",1000,173
"ARM 3 ","310000",1989,"Acorn",1500,87
"Motorola 68040 ","1200000",1990,"Motorola",650,152
"R4000 ","1350000",1991,"MIPS",1000,213
"Hitachi SH-1 ",600000,1992,"Hitachi",800,10
"DEC Alpha 21064 ","1680000",1992,"DEC",750,233.52
"Hitachi HARP-1 ",2800000,1993,"Hitachi",500,267
"Pentium ","3100000",1993,"Intel",800,294
"ARM700 ",578977,1994,"ARM",700,68.51
"Motorola 68060 ","2500000",1994,"Motorola",600,218
"SA-110 ",2500000,1995,"Acorn/DEC/Apple",350,50
"Pentium Pro ",5500000,1995,"Intel",500,307
"AMD K5 ","4300000",1996,"AMD",500,251
"Hitachi SH-4 ",10000000,1997,"Hitachi",200,42
"Pentium II Klamath ","7500000",1997,"Intel",350,195
"AMD K6 ","8800000",1997,"AMD",350,162
"Pentium II Deschutes ","7500000",1998,"Intel",250,113
"ARM 9TDMI ",111000,1999,"Acorn",350,4.8
"Pentium III Katmai ","9500000",1999,"Intel",250,128
"Emotion Engine ",13500000,1999,"Sony/Toshiba",180,240
"Pentium II Mobile Dixon ","27400000",1999,"Intel",180,180
"AMD K6-III ","21300000",1999,"AMD",250,118
"AMD K7 ","22000000",1999,"AMD",250,184
"Gekko ",21000000,2000,"IBM/Nintendo",180,43
"Pentium III Coppermine ","21000000",2000,"Intel",180,80
"Pentium 4 Willamette ","42000000",2000,"Intel",180,217
