"date","name","designer","max_clock_khz","max_clock_mhz","max_clock_ghz","process_micro_m","process_nm","chips","transistor_count","transistor_millions","logical_cores"
1971,4004,"Intel",740,,,10,,1,2250,,1
1972,"PPS-25","Fairchild",400,,,,,2,,,1
1972,"μPD700","NEC",,,,,,1,,,1
1972,8008,"Intel",500,,,10,,1,3500,,1
1972,"PPS-4","Rockwell",200,,,,,1,,,1
1973,"μCOM-4","NEC",,2,,7.5,,1,2500,,1
1973,"TLCS-12","Toshiba",,1,,6,,1,2800,,1
1973,"Mini-D","Burroughs",,1,,,,1,,,1
1974,"IMP-8","National",715,,,,,3,,,1
1974,8080,"Intel",,2,,6,,1,6000,,1
1974,"μCOM-8","NEC",,2,,,,1,,,1
1974,5065,"Mostek",,1.4,,,,1,,,1
1974,"μCOM-16","NEC",,2,,,,2,,,1
1974,"IMP-4","National",500,,,,,3,,,1
1974,4040,"Intel",740,,,10,,1,3000,,1
1974,6800,"Motorola",,1,,,,1,4100,,1
1974,"TMS 1000","Texas Instruments",400,,,8,,1,8000,,1
1974,"PACE","National",,,,,,1,,,1
1974,"ISP-8A/500 ","National",,1,,,,1,,,1
1975,6100,"Intersil",,4,,,,1,4000,,1
1975,"TLCS-12A","Toshiba",,1.2,,,,1,,,1
1975,2650,"Signetics",,1.2,,,,1,,,1
1975,"PPS-8","Rockwell",256,,,,,1,,,1
1975,"F-8","Fairchild",,2,,,,1,,,1
1975,"CDP 1801","RCA",,2,,5,,2,5000,,1
1975,6502,"MOS Technology",,1,,,,1,3510,,1
1975,"IMP-16","National",715,,,,,5,,,1
1975,"PFL-16A ","Panafacom",,2,,,,1,,,1
1975,"BPC","Hewlett Packard",,10,,,,1,6000,,1
1975,"MCP-1600","Western Digital",,3.3,,,,3,,,1
1975,"CP1600","General Instrument",,3.3,,,,1,,,1
1976,"CDP 1802","RCA",,6.4,,,,1,,,1
1976,"Z-80","Zilog",,2.5,,4,,1,8500,,1
1976,"TMS9900","Texas Instruments",,3.3,,,,1,8000,,1
1976,"8x300","Signetics",,8,,,,1,,,1
1977,"Bellmac-8 ","Bell Labs",,2,,5,,1,7000,,1
1977,8085,"Intel",,3,,3,,1,6500,,1
1977,"MC14500B","Motorola",,1,,,,1,,,1
